id_pedido,data_pedido,categoria,regiao,preco_venda,custo_produto,frete,dias_entrega,data_entrega,margem_lucro,mes_pedido
1,2023-02-18,Eletrônicos,Sudeste,921.3595538865775,378.06516683660067,92.16951971090963,9,2023-02-27,451.12486733906724,2023-02-01
2,2023-11-17,Vestuário,Sul,1967.438644345384,852.0269808300768,283.4389851749992,3,2023-11-20,831.9726783403081,2023-11-01
3,2023-06-02,Móveis,Sudeste,1743.6894553946331,1218.4076601546121,194.60679272173988,6,2023-06-08,330.6750025182811,2023-06-01
4,2023-03-15,Eletrônicos,Nordeste,1124.1051683202386,767.8433169557469,167.75570866359118,3,2023-03-18,188.5061427009005,2023-03-01
5,2023-08-16,Beleza,Norte,1209.3391214497387,740.4817506414233,176.0853365800918,3,2023-08-19,292.7720342282236,2023-08-01
6,2023-05-26,Esportes,Nordeste,657.3515551746823,439.318495907353,60.195065678150385,7,2023-06-02,157.8379935891789,2023-05-01
7,2023-05-02,Esportes,Sudeste,1247.9283325839788,685.4414628462462,85.11773120096014,13,2023-05-15,477.3691385367725,2023-05-01
8,2023-02-18,Vestuário,Sudeste,597.7229273878038,354.12153916744114,64.68353364970137,2,2023-02-20,178.9178545706613,2023-02-01
9,2023-05-08,Vestuário,Sudeste,1981.3788986881264,810.0092857168246,158.357924161468,2,2023-05-10,1013.0116888098337,2023-05-01
10,2023-10-30,Vestuário,Sudeste,1467.210918769706,742.2856991703018,149.81932481061972,15,2023-11-14,575.1058947887846,2023-10-01
11,2023-01-24,Eletrônicos,Sudeste,1339.7379155736417,694.5809530897158,186.56036474198675,7,2023-01-31,458.59659774193915,2023-01-01
12,2023-11-23,Eletrônicos,Nordeste,1314.8122065002099,578.0919767878723,180.5322747438395,9,2023-12-02,556.187954968498,2023-11-01
13,2023-12-22,Eletrônicos,Nordeste,1300.932250067126,830.260730722568,116.35374796676908,6,2023-12-28,354.31777137778886,2023-12-01
14,2023-03-30,Móveis,Sul,1460.0067489547655,820.163346947472,79.58206973987551,7,2023-04-06,560.2613322674181,2023-03-01
15,2023-06-14,Eletrônicos,Sudeste,1419.9278145562857,900.9892969713078,158.96462294959744,8,2023-06-22,359.9738946353805,2023-06-01
16,2023-04-20,Eletrônicos,Sudeste,781.3097984879278,506.042608053263,63.72265206411072,12,2023-05-02,211.54453837055405,2023-04-01
